timestamp,thumb,index,middle,ring,pinky,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16
45153,1.0,1.0,1.0,1.0,1.0,55.95998,-8.560607,4.3185244,-3.177338,81.043015,0.5770062,-65.502686,18.122961,2.3619478,12.132676,-0.38103697,0.37457466,-0.42432532,-0.42336175,-0.40990192,-0.41081068
45161,1.0,1.0,1.0,1.0,1.0,25.644127,-11.169538,1.4925716,1.3072683,100.841896,8.876777,-73.515076,30.930222,16.823082,6.081083,-0.662877,0.682289,-0.7607947,-0.71607554,-0.7014684,-0.6695047
45169,1.0,1.0,1.0,1.0,1.0,-79.913445,13.067574,-3.5716898,-0.51891154,-48.86942,-8.407939,17.940147,-0.433725,0.77210635,-7.999999,0.13321295,-0.08849292,0.1108885,0.06727707,0.14353468,0.16088134
45177,1.0,1.0,1.0,1.0,1.0,-24.042822,8.03414,-0.28303596,-5.982744,-33.13852,-2.45059,12.203122,1.7074991,-5.375287,6.8338575,0.62728757,-0.57769567,0.6765849,0.66860104,0.61994636,0.68800694
45185,1.0,1.0,1.0,1.0,1.0,58.455013,-19.14525,1.1504921,0.5584857,23.820541,7.0151434,6.128652,-5.39463,7.2294855,6.012941,-0.41537374,0.35016096,-0.32806805,-0.2557617,-0.343548,-0.34041077
45193,1.0,1.0,1.0,1.0,1.0,-5.259688,-7.1016355,0.20164523,2.5674086,-2.5816312,-8.860933,35.443165,-25.798304,0.6662804,-8.883186,-0.82957166,0.76577014,-0.8320467,-0.7908267,-0.77698714,-0.8633196
45201,1.0,1.0,1.0,1.0,1.0,-35.029297,27.348427,1.1055276,-3.412668,-17.347878,-8.660617,7.4636307,7.622859,-7.4626374,1.2400097,-0.5002686,0.6065334,-0.63422644,-0.6662455,-0.6653435,-0.61981475
45209,1.0,1.0,1.0,1.0,1.0,29.15546,20.392178,1.7106913,1.3840735,-20.417162,11.687038,14.964494,-6.5799227,-4.6073966,-4.61007,0.19208111,-0.10446623,0.062393133,0.06102916,0.05058656,0.09622976
45217,1.0,1.0,1.0,1.0,1.0,28.818048,-12.232283,-0.65455955,0.95875376,-34.525192,1.5642377,-9.541813,-12.741068,-5.6041384,-0.43101853,0.30618712,-0.3062994,0.31296968,0.35307217,0.37428772,0.30672067
45225,1.0,1.0,1.0,1.0,1.0,-24.229935,-38.038483,-2.186918,1.7605349,31.751053,-10.840434,-60.406197,28.141811,4.0881643,15.418967,-0.14478932,0.20480138,-0.07225789,-0.11032428,-0.07157929,-0.11307811
